id,x,y,date,time
220,590336,5811338,12/20/2004,6:01
220,595367,5810984,12/20/2004,8:00
220,597313,5808925,12/20/2004,10:01
220,597780,5808586,12/20/2004,12:00
220,597777,5808570,12/20/2004,14:00
220,597783,5808572,12/20/2004,16:01
220,602978,5807882,12/20/2004,18:00
220,605419,5805635,12/20/2004,20:00
220,600684,5799866,12/20/2004,22:00
220,599233,5797715,12/21/2004,0:01
220,599243,5797693,12/21/2004,2:01
220,599115,5797637,12/21/2004,4:00
220,599151,5797671,12/21/2004,6:00
220,599228,5797700,12/21/2004,8:00
220,595550,5795859,12/21/2004,10:01
220,595278,5796090,12/21/2004,12:00
220,595418,5796030,12/21/2004,14:00
220,595433,5796007,12/21/2004,16:00
220,595386,5796053,12/21/2004,18:00
220,596468,5795264,12/21/2004,20:01
220,598243,5796415,12/21/2004,22:00
220,599249,5797678,12/22/2004,0:01
220,599270,5797688,12/22/2004,2:01
220,599228,5797707,12/22/2004,4:00
220,598767,5797695,12/22/2004,8:00
220,598564,5800631,12/22/2004,10:01
220,597670,5801026,12/22/2004,12:00
220,597788,5801151,12/22/2004,14:01
220,597784,5801161,12/22/2004,16:00
220,598110,5800169,12/22/2004,18:01
220,599260,5799138,12/22/2004,20:01
220,600501,5800089,12/22/2004,22:00
220,601510,5802866,12/23/2004,0:01
220,598961,5806131,12/23/2004,2:01
220,602089,5803629,12/23/2004,4:01
220,602093,5803606,12/23/2004,8:00
220,601927,5803888,12/23/2004,10:01
220,594337,5809183,12/23/2004,16:00
220,594351,5809152,12/23/2004,18:00
220,594348,5809138,12/23/2004,20:00
220,594336,5809139,12/23/2004,22:00
220,590449,5808336,12/24/2004,0:00
220,587674,5809670,12/24/2004,4:01
220,587691,5809657,12/24/2004,6:01
220,587684,5809660,12/24/2004,8:01
220,585397,5807854,12/24/2004,10:00
220,585536,5807477,12/24/2004,12:00
220,585537,5807472,12/24/2004,14:00
220,585536,5807477,12/24/2004,16:00
220,585545,5807472,12/24/2004,18:00
220,585525,5807470,12/24/2004,20:00
220,585532,5807476,12/24/2004,22:01
220,582502,5806092,12/25/2004,0:00
220,580405,5808650,12/25/2004,2:01
220,585414,5811719,12/25/2004,4:01
220,590218,5806614,12/25/2004,6:01
220,589931,5806570,12/25/2004,8:00
220,591632,5804924,12/25/2004,10:00
220,591641,5804924,12/25/2004,12:00
220,591616,5804960,12/25/2004,14:01
220,591614,5804967,12/25/2004,16:00
220,591609,5804965,12/25/2004,18:00
220,591607,5804993,12/25/2004,20:00
220,592154,5806157,12/25/2004,22:00
220,596481,5809482,12/26/2004,0:01
220,599357,5811803,12/26/2004,2:00
220,599363,5811821,12/26/2004,4:00
220,599361,5811819,12/26/2004,8:01
220,598908,5810234,12/26/2004,10:00
220,598874,5810323,12/26/2004,12:00
220,598920,5810249,12/26/2004,14:00
220,599359,5808983,12/26/2004,16:01
220,602801,5807867,12/26/2004,18:00
220,602952,5807895,12/26/2004,20:00
220,602954,5807881,12/26/2004,22:00
220,601130,5798471,12/27/2004,2:01
220,603578,5798230,12/27/2004,4:00
220,602392,5799045,12/27/2004,6:01
220,602438,5799026,12/27/2004,8:00
220,601430,5800602,12/27/2004,10:00
220,601435,5800596,12/27/2004,12:00
220,601437,5800560,12/27/2004,14:01
220,601445,5800569,12/27/2004,16:00
220,602536,5799198,12/27/2004,18:00
220,602428,5799046,12/27/2004,20:00
220,602443,5799015,12/27/2004,22:00
220,602421,5799048,12/28/2004,0:01
220,602426,5799041,12/28/2004,2:00
220,602425,5799073,12/28/2004,4:00
220,602456,5799020,12/28/2004,6:00
220,602355,5799188,12/28/2004,8:00
220,599729,5802138,12/28/2004,10:00
220,598294,5803279,12/28/2004,12:00
220,598228,5803235,12/28/2004,14:00
220,599803,5801372,12/28/2004,16:00
220,599635,5800309,12/28/2004,18:00
220,599655,5800268,12/28/2004,20:00
220,599642,5800273,12/28/2004,22:00
220,599640,5800274,12/29/2004,0:00
220,597585,5799814,12/29/2004,2:01
220,592697,5800218,12/29/2004,4:01
220,591116,5800450,12/29/2004,6:01
220,591114,5800471,12/29/2004,8:00
220,589924,5801347,12/29/2004,10:00
220,589147,5801893,12/29/2004,12:00
220,589150,5801897,12/29/2004,14:00
220,587989,5803570,12/29/2004,16:01
220,588008,5803551,12/29/2004,18:00
220,588007,5803575,12/29/2004,20:00
220,588017,5803577,12/29/2004,22:00
220,587701,5808001,12/30/2004,0:01
220,583858,5810259,12/30/2004,2:01
