"","x_","y_","t_","grid_id"
"355",535816.8813,7616748.558,2005-08-04 12:18:00,318
"356",535576.9411,7617440.061,2005-08-04 16:18:00,317
"357",535430.9898,7617712.282,2005-08-05 00:18:00,317
"358",535381.7092,7618443.212,2005-08-05 04:18:00,317
"359",535273.2311,7618926.159,2005-08-05 08:18:00,343
"360",535228.9896,7619058.871,2005-08-05 12:18:00,343
"361",535499.1799,7618595.202,2005-08-05 16:18:00,343
"362",535435.7797,7618387.802,2005-08-05 20:18:00,317
"363",535476.921,7618257.906,2005-08-06 00:18:00,317
"364",535484.0205,7617909.198,2005-08-06 04:18:00,317
"365",535488.731,7617832.214,2005-08-06 08:18:00,317
"366",535484.4471,7617835.319,2005-08-06 12:18:00,317
"367",535674.4521,7617084.942,2005-08-06 16:18:00,318
"368",535693.8135,7617215.57,2005-08-06 20:18:00,318
"369",535574.349,7617428.645,2005-08-07 00:18:00,317
"370",538272.1681,7613131.274,2005-08-07 08:18:00,267
"371",539892.7713,7610256.615,2005-08-07 12:18:00,216
"372",536893.5865,7613679.499,2005-08-07 20:18:00,266
"373",536922.1657,7613753.084,2005-08-08 00:18:00,266
"374",536368.4994,7614421.699,2005-08-08 08:18:00,266
"375",536388.0224,7614442.788,2005-08-08 12:18:00,266
"376",535757.9247,7614300.021,2005-08-08 16:18:00,266
"377",535104.1484,7614634.733,2005-08-09 00:18:00,291
"378",535119.2162,7614708.368,2005-08-09 08:18:00,291
"379",535112.5086,7614699.704,2005-08-09 12:18:00,291
"380",535936.565,7615038.968,2005-08-09 16:18:00,292
"381",537890.1337,7612036.782,2005-08-09 20:18:00,241
"382",538071.0892,7611933.66,2005-08-10 00:18:00,241
"383",539702.2252,7609651.069,2005-08-10 08:18:00,216
"384",539681.7486,7609657.431,2005-08-10 12:18:00,216
"385",540085.8651,7608983.677,2005-08-10 16:18:00,216
"386",539833.9812,7608896.196,2005-08-10 20:18:00,216
"387",540402.9303,7608416.307,2005-08-11 00:18:00,190
"388",540294.2594,7608119.762,2005-08-11 08:18:00,190
"389",540306.6762,7608122.654,2005-08-11 12:18:00,190
"390",539090.2059,7608992.933,2005-08-11 16:18:00,215
"391",538831.6722,7608858.916,2005-08-11 20:18:00,215
