t,x,y,datetime
2105,553109.8893,7619998.697,2006-05-09 8:18
2106,553101.4606,7619995.253,2006-05-09 12:18
2107,553102.7382,7620013.154,2006-05-09 16:18
2108,551658.1994,7623056.171,2006-05-09 20:18
2109,552268.1727,7627686.744,2006-05-10 0:18
2110,552535.9426,7629567.417,2006-05-10 4:18
2111,552360.8299,7629090.291,2006-05-10 8:18
2112,552428.201,7629502.936,2006-05-10 12:18
2113,552414.0661,7629455.116,2006-05-10 16:18
2114,552428.1744,7629442.724,2006-05-10 20:18
2115,553197.8422,7631647.524,2006-05-11 0:18
2116,554236.3987,7633436.235,2006-05-11 4:18
2117,554226.4862,7633409.351,2006-05-11 8:18
2118,554231.3923,7633435.905,2006-05-11 12:18
2119,554960.2566,7633769.503,2006-05-11 16:18
2120,554984.7135,7633747.898,2006-05-11 20:18
2121,554984.3911,7633766.637,2006-05-12 0:18
2123,558093.1991,7626934.248,2006-05-12 8:18
2124,558078.1268,7626930.284,2006-05-12 12:18
2125,556411.561,7627526.697,2006-05-12 16:18
2126,554527.0071,7628377.172,2006-05-12 20:18
2127,554416.0807,7627636.392,2006-05-13 0:18
2135,552394.3089,7629085.951,2006-05-14 8:18
2136,552367.9301,7629130.805,2006-05-14 12:18
2137,552384.7313,7629466.451,2006-05-14 16:18
2138,553380.3496,7629463.384,2006-05-14 20:18
2139,554098.3281,7629628.436,2006-05-15 0:18
2141,555818.8022,7631772.982,2006-05-15 8:18
2142,555816.3988,7631802.158,2006-05-15 12:18
2143,555958.7227,7631579.492,2006-05-15 16:18
2144,555011.7865,7635128.061,2006-05-15 20:18
2145,555016.9407,7635007.859,2006-05-16 0:18
2147,554734.6879,7635279.331,2006-05-16 8:18
2148,554720.3059,7635288.428,2006-05-16 12:18
2149,555005.4575,7635329.432,2006-05-16 16:18
2150,552576.7728,7630370.848,2006-05-16 20:18
2151,552339.1837,7629482.741,2006-05-17 0:18
2152,552441.8476,7629467.849,2006-05-17 4:18
2153,552440.9719,7629487.704,2006-05-17 8:18
2154,552336.5384,7629122.859,2006-05-17 12:18
2155,552448.0223,7629470.412,2006-05-17 16:18
2156,552439.6404,7629472.726,2006-05-17 20:18
2157,552804.2211,7627653.285,2006-05-18 0:18
2159,554563.4177,7624494.213,2006-05-18 8:18
2160,554587.0588,7624499.136,2006-05-18 12:18
2161,555790.9642,7624305.5,2006-05-18 16:18
2162,555795.8336,7624298.873,2006-05-18 20:18
2163,556070.6789,7624322.681,2006-05-19 0:18
2164,556063.5791,7624273.874,2006-05-19 4:18
2165,556036.9658,7624263.516,2006-05-19 8:18
